id;title;content;announcement_type;start_date;end_date;open
1;hub Steel Cotton;../fake-data/blob/hipster.txt;OBSERVATIONS;2020-12-02;2020-12-03;false
2;solid state THX Money Market Account;../fake-data/blob/hipster.txt;OBSERVATIONS;2020-12-03;2020-12-02;true
3;Reactive;../fake-data/blob/hipster.txt;OTHERS;2020-12-03;2020-12-03;false
4;XSS Unbranded Wooden Bike;../fake-data/blob/hipster.txt;OBSERVATIONS;2020-12-02;2020-12-03;false
5;connecting Towels CSS;../fake-data/blob/hipster.txt;DISCUSSIONS;2020-12-02;2020-12-03;true
6;Illinois task-force;../fake-data/blob/hipster.txt;DISCUSSIONS;2020-12-03;2020-12-02;false
7;implement open-source transmit;../fake-data/blob/hipster.txt;OTHERS;2020-12-02;2020-12-03;false
8;Fresh panel Agent;../fake-data/blob/hipster.txt;DISCUSSIONS;2020-12-02;2020-12-02;false
9;fuchsia Open-source;../fake-data/blob/hipster.txt;OTHERS;2020-12-02;2020-12-02;true
10;Louisiana;../fake-data/blob/hipster.txt;OTHERS;2020-12-02;2020-12-02;false
