<<<<<<< HEAD
id;name
1;grey Concrete
2;Applications Cheese digital
3;Yen microchip
4;Consultant invoice
5;olive
6;application architectures redefine
7;Pre-emptive Frozen
8;SAS Dynamic Handcrafted Cotton Shoes
9;Home
10;global value-added
=======
id;name;code
1;grey Concrete;Applications Cheese digital
2;Yen microchip;Consultant invoice
3;olive;application architectures redefine
4;Pre-emptive Frozen;SAS Dynamic Handcrafted Cotton Shoes
5;Home;global value-added
6;Frozen Alley;Adaptive Moldova Idaho
7;Auto Loan Account unleash communities;Sports Networked Ameliorated
8;Sports Frozen;digital SCSI
9;engineer Tunnel Missouri;methodical Product Way
10;multi-tasking archive Corporate;RAM Borders National
>>>>>>> Initial version of pums generated by JHipster-6.10.5 with entity
