<<<<<<< HEAD
id;name;file;file_content_type;date;type
1;bypass open-source;../fake-data/blob/hipster.png;image/png;2020-11-20T18:33:40;Baht Minnesota
2;Chair Profit-focused;../fake-data/blob/hipster.png;image/png;2020-11-20T23:55:32;Object-based copying
3;Ergonomic;../fake-data/blob/hipster.png;image/png;2020-11-20T19:37:38;Vista
4;sky blue;../fake-data/blob/hipster.png;image/png;2020-11-20T20:57:19;Sleek Accounts Bedfordshire
5;Intranet Shores Devolved;../fake-data/blob/hipster.png;image/png;2020-11-21T01:59:27;ivory Bahamas Georgia
6;bluetooth American Samoa Security;../fake-data/blob/hipster.png;image/png;2020-11-20T15:05:06;Mozambique
7;teal front-end;../fake-data/blob/hipster.png;image/png;2020-11-20T17:13:29;withdrawal Intelligent Plastic Pizza
8;functionalities;../fake-data/blob/hipster.png;image/png;2020-11-21T11:56:43;Forward
9;interactive Usability Program;../fake-data/blob/hipster.png;image/png;2020-11-21T10:13:12;Investment Account pixel
10;Focused Oklahoma Rustic;../fake-data/blob/hipster.png;image/png;2020-11-20T21:52:56;Pants
=======
id;name;file;file_content_type;upload_date;type
1;bypass open-source;../fake-data/blob/hipster.png;image/png;2020-12-02T17:16:45;Baht Minnesota
2;Chair Profit-focused;../fake-data/blob/hipster.png;image/png;2020-12-02T22:38:37;Object-based copying
3;Ergonomic;../fake-data/blob/hipster.png;image/png;2020-12-02T18:20:43;Vista
4;sky blue;../fake-data/blob/hipster.png;image/png;2020-12-02T19:40:24;Sleek Accounts Bedfordshire
5;Intranet Shores Devolved;../fake-data/blob/hipster.png;image/png;2020-12-03T00:42:32;ivory Bahamas Georgia
6;bluetooth American Samoa Security;../fake-data/blob/hipster.png;image/png;2020-12-02T13:48:11;Mozambique
7;teal front-end;../fake-data/blob/hipster.png;image/png;2020-12-02T15:56:34;withdrawal Intelligent Plastic Pizza
8;functionalities;../fake-data/blob/hipster.png;image/png;2020-12-03T10:39:48;Forward
9;interactive Usability Program;../fake-data/blob/hipster.png;image/png;2020-12-03T08:56:17;Investment Account pixel
10;Focused Oklahoma Rustic;../fake-data/blob/hipster.png;image/png;2020-12-02T20:36:01;Pants
>>>>>>> Initial version of pums generated by JHipster-6.10.5 with entity
