id;title;detail;creation_date
1;withdrawal;../fake-data/blob/hipster.txt;2020-12-02T19:48:14
2;Identity;../fake-data/blob/hipster.txt;2020-12-02T13:37:50
3;Borders application Checking Account;../fake-data/blob/hipster.txt;2020-12-02T22:20:18
4;Chips Small Frozen Shirt Uganda;../fake-data/blob/hipster.txt;2020-12-03T05:20:36
5;metrics;../fake-data/blob/hipster.txt;2020-12-03T01:44:10
6;Manors;../fake-data/blob/hipster.txt;2020-12-03T09:29:49
7;Rubber Manager;../fake-data/blob/hipster.txt;2020-12-02T16:09:30
8;Idaho Islands Refined Plastic Soap;../fake-data/blob/hipster.txt;2020-12-02T16:00:44
9;dot-com demand-driven mobile;../fake-data/blob/hipster.txt;2020-12-02T17:45:21
10;Peru;../fake-data/blob/hipster.txt;2020-12-03T04:37:32
